Symbol,Type,Trade date and time,Option Expiration Date,Option Strike,Option Call/Put,Shares/Contracts,Price/Prem,Fees & Commissions,Notes,Option Action,Action Fees & Commissions,Action Date and time,Expired Contracts,Assigned/Called Away/Exercised Shares,Action Notes,SCHEDULE_NAME,Short Leg Mid,Delta
SPX,,2026-05-07 09:51,2026-05-11,7390,Put,-4,50.15,5.16,Bull Put - Short,,,,,,
SPX,,2026-05-07 09:51,2026-05-11,7380,Put,4,44.60,5.16,Bull Put - Long,,,,,,
SPX,,2026-05-08 09:49,2026-05-12,7405,Put,-5,45.80,6.45,Bull Put - Short,,,,,,
SPX,,2026-05-08 09:49,2026-05-12,7395,Put,5,41.00,6.45,Bull Put - Long,,,,,,
SPX,,2026-05-08 14:15,2026-05-08,7425,Put,-2,25.10,2.58,Bull Put - Short,,,,,,
SPX,,2026-05-08 14:15,2026-05-08,7415,Put,2,15.80,2.58,Bull Put - Long,,,,,,
SPX,,2026-05-11 14:46,2026-05-11,7415,Put,-2,2.70,2.58,Bull Put - Short,,,,,,,SPX-10BPS
SPX,,2026-05-11 14:46,2026-05-11,7405,Put,2,1.05,2.58,Bull Put - Long,,,,,,,SPX-10BPS
SPX,,2026-05-11 14:53,2026-05-11,7410,Put,-2,2.40,2.58,Bull Put - Short,,,,,,,SPX-10BPS
SPX,,2026-05-11 14:53,2026-05-11,7400,Put,2,0.95,2.40,Bull Put - Long,,,,,,,SPX-10BPS
SPX,,2026-05-14 14:15,2026-05-14,7490,Put,-2,2.95,2.58,Bull Put - Short,,,,,,,SPX-10BPS,3.55,0.3206
SPX,,2026-05-14 14:15,2026-05-14,7480,Put,2,1.40,2.58,Bull Put - Long,,,,,,,SPX-10BPS,,
SPX,,2026-05-15 09:46,2026-05-19,7390,Put,-5,38.90,6.45,Bull Put - Short,,,,,,,SPX-FFBPS,38.40,0.4469
SPX,,2026-05-15 09:46,2026-05-19,7380,Put,5,35.40,6.45,Bull Put - Long,,,,,,,SPX-FFBPS,,
SPX,,2026-05-18 09:46,2026-05-22,7385,Put,-5,45.80,6.45,Bull Put - Short,,,,,,,SPX-FFBPS,45.20,0.4480
SPX,,2026-05-18 09:46,2026-05-22,7375,Put,5,42.40,6.45,Bull Put - Long,,,,,,,SPX-FFBPS,,
SPX,,2026-05-18 14:54,2026-05-18,7350,Put,-2,4.70,2.58,Bull Put - Short,,,,,,,SPX-10BPS,4.15,0.3334
SPX,,2026-05-18 14:54,2026-05-18,7340,Put,2,2.25,2.58,Bull Put - Long,,,,,,,SPX-10BPS,,
SPX,,2026-05-20 12:00,2026-05-22,7410,Put,-1,35.25,1.64,Bull-Put - Short,,,,,,,SPX-FFBPS,34.90,0.4482
SPX,,2026-05-20 12:00,2026-05-22,7400,Put,1,31.60,1.64,Bull-Put - Long,,,,,,,SPX-FFBPS,,
NDX,,2026-05-20 13:17,2026-05-20,28850,Put,-1,1.75,1.55,Bull-Put - Short,,,,,,,NDX-50BPS,2.02,0.0223
NDX,,2026-05-20 13:17,2026-05-20,28800,Put,1,1.45,1.55,Bull-Put - Long,,,,,,,NDX-50BPS,,
SPX,,2026-05-20 14:25,2026-05-20,7410,Put,-2,3.40,2.58,Bull-Put - Short,,,,,,,SPX-10BPS,3.75,0.3009
SPX,,2026-05-20 14:25,2026-05-20,7400,Put,2,1.55,2.58,Bull-Put - Long,,,,,,,SPX-10BPS,,
SPX,,2026-05-21 09:51,2026-05-22,7390,Put,-1,26.80,1.64,Bull-Put - Short,,,,,,,SPX-FFBPS,28.85,0.4479
