Symbol,Type,Trade date and time,Option Expiration Date,Option Strike,Option Call/Put,Shares/Contracts,Price/Prem,Fees & Commissions,Notes,Option Action,Action Fees & Commissions,Action Date and time,Expired Contracts,Assigned/Called Away/Exercised Shares,Action Notes,SCHEDULE_NAME,Short Leg Mid,Delta

SPX,,2026-06-16 09:33,2026-08-31,7425,Put,2,131.60,2.68,Lower Wing,,,,,,,SPX-PBW-55-35,,
SPX,,2026-06-16 09:33,2026-08-31,7480,Put,-4,147.20,5.36,Body,,,,,,,SPX-PBW-55-35,,0.3877
SPX,,2026-06-16 09:33,2026-08-31,7515,Put,2,158.25,2.68,Upper Wing,,,,,,,SPX-PBW-55-35,,
NDX,,2026-06-16 13:20,2026-06-16,29680,Put,-1,2.12,1.80,Bull-Put - Short,,,,,,,NDX-50BPS,2.10,0.0196
NDX,,2026-06-16 13:20,2026-06-16,29630,Put,1,1.82,1.80,Bull-Put - Long,,,,,,,NDX-50BPS,,
NDX,,2026-06-18 13:21,2026-06-18,29950,Put,-1,2.55,1.80,Bull-Put - Short,,,,,,,NDX-50BPS,2.40,0.0248
NDX,,2026-06-18 13:21,2026-06-18,29900,Put,1,2.10,1.80,Bull-Put - Long,,,,,,,NDX-50BPS,,
SPX,,2026-06-22 09:45,2026-06-26,7500,Put,-4,39.15,5.76,Bull-Put - Short,,,,,,,SPX-FFBPS,39.00,0.4444
SPX,,2026-06-22 09:45,2026-06-26,7490,Put,4,35.75,5.76,Bull-Put - Long,,,,,,,SPX-FFBPS,,
NDX,,2026-06-22 13:21,2026-06-22,29910,Put,-1,2.60,1.80,Bull-Put - Short,,,,,,,NDX-50BPS,2.42,0.0272
NDX,,2026-06-22 13:21,2026-06-22,29860,Put,1,2.00,1.80,Bull-Put - Long,,,,,,,NDX-50BPS,,
SPX,,2026-06-23 09:33,2026-08-31,7230,Put,2,148.09,2.68,Lower Wing,,,,,,,SPX-PBW-55-35,,
SPX,,2026-06-23 09:33,2026-08-31,7285,Put,-4,163.96,5.36,Body,,,,,,,SPX-PBW-55-35,,0.4012
SPX,,2026-06-23 09:33,2026-08-31,7320,Put,2,175.13,2.68,Upper Wing,,,,,,,SPX-PBW-55-35,,
NDX,,2026-06-23 13:21,2026-06-23,29050,Put,-1,2.20,1.80,Bull-Put - Short,,,,,,,NDX-50BPS,2.35,0.0224
NDX,,2026-06-23 13:21,2026-06-23,29000,Put,1,1.75,1.80,Bull-Put - Long,,,,,,,NDX-50BPS,,
NDX,,2026-06-24 13:21,2026-06-24,28600,Put,-1,3.85,1.80,Bull-Put - Short,,,,,,,NDX-50BPS,3.80,0.0354
NDX,,2026-06-24 13:21,2026-06-24,28550,Put,1,3.25,1.80,Bull-Put - Long,,,,,,,NDX-50BPS,,
NDX,,2026-06-26 13:20,2026-06-26,28780,Put,-1,2.47,1.80,Bull-Put - Short,,,,,,,NDX-50BPS,2.47,0.0249
NDX,,2026-06-26 13:20,2026-06-26,28730,Put,1,2.05,1.80,Bull-Put - Long,,,,,,,NDX-50BPS,,
NDX,,2026-06-29 13:21,2026-06-29,29120,Put,-1,2.84,1.80,Bull-Put - Short,,,,,,,NDX-50BPS,2.90,0.0256
NDX,,2026-06-29 13:21,2026-06-29,29070,Put,1,2.48,1.80,Bull-Put - Long,,,,,,,NDX-50BPS,,
SPX,,2026-06-30 09:33,2026-09-18,7310,Put,2,146.29,2.68,Lower Wing,,,,,,,SPX-PBW-55-35,,
SPX,,2026-06-30 09:33,2026-09-18,7365,Put,-4,161.91,5.36,Body,,,,,,,SPX-PBW-55-35,,0.3910
SPX,,2026-06-30 09:33,2026-09-18,7400,Put,2,172.88,2.68,Upper Wing,,,,,,,SPX-PBW-55-35,,
NDX,,2026-07-01 13:21,2026-07-01,29550,Put,-1,1.55,1.78,Bull-Put - Short,,,,,,,NDX-50BPS,1.62,0.0249
NDX,,2026-07-01 13:21,2026-07-01,29500,Put,1,1.25,1.78,Bull-Put - Long,,,,,,,NDX-50BPS,,
NDX,,2026-07-06 13:21,2026-07-06,29370,Put,-1,2.03,1.78,Bull-Put - Short,,,,,,,NDX-50BPS,1.98,0.0250
NDX,,2026-07-06 13:21,2026-07-06,29320,Put,1,1.67,1.78,Bull-Put - Long,,,,,,,NDX-50BPS,,
SPX,,2026-07-07 09:39,2026-09-18,7390,Put,2,130.23,2.66,Lower Wing,,,,,,,SPX-PBW-55-35,,
SPX,,2026-07-07 09:39,2026-09-18,7445,Put,-4,145.83,5.32,Body,,,,,,,SPX-PBW-55-35,,0.3793
SPX,,2026-07-07 09:39,2026-09-18,7480,Put,2,156.93,2.66,Upper Wing,,,,,,,SPX-PBW-55-35,,
NDX,,2026-07-07 13:25,2026-07-07,28930,Put,-1,2.10,1.78,Bull-Put - Short,,,,,,,NDX-50BPS,2.27,0.0338
NDX,,2026-07-07 13:25,2026-07-07,28880,Put,1,1.74,1.78,Bull-Put - Long,,,,,,,NDX-50BPS,,
NDX,,2026-07-09 13:24,2026-07-09,29390,Put,-1,1.91,1.78,Bull-Put - Short,,,,,,,NDX-50BPS,2.08,0.0294
NDX,,2026-07-09 13:24,2026-07-09,29340,Put,1,1.55,1.78,Bull-Put - Long,,,,,,,NDX-50BPS,,
SPX,,2026-07-09 14:15,2026-07-09,7540,Put,-1,2.32,1.63,Bull-Put - Short,,,,,,,SPX-10BPS,2.77,0.3683
SPX,,2026-07-09 14:15,2026-07-09,7530,Put,1,0.97,1.54,Bull-Put - Long,,,,,,,SPX-10BPS,,
NDX,,2026-07-10 13:22,2026-07-10,29490,Put,-1,2.16,1.78,Bull-Put - Short,,,,,,,NDX-50BPS,2.20,0.0311
NDX,,2026-07-10 13:22,2026-07-10,29440,Put,1,1.80,1.78,Bull-Put - Long,,,,,,,NDX-50BPS,,
NDX,,2026-07-13 13:22,2026-07-13,28950,Put,-1,2.10,1.78,Bull-Put - Short,,,,,,,NDX-50BPS,2.15,0.0298
NDX,,2026-07-13 13:22,2026-07-13,28900,Put,1,1.70,1.78,Bull-Put - Long,,,,,,,NDX-50BPS,,
SPX,,2026-07-14 09:33,2026-09-30,7395,Put,2,141.21,2.66,Lower Wing,,,,,,,SPX-PBW-55-35,,
